age,total_population,males,females,hispanic_total,hispanic_males,hispanic_females,native_total,native_males,native_females,asian_total,asian_males,asian_females,black_total,black_males,black_females,white_total,white_males,white_females
55,26.7,25.0,28.4,28.7,26.8,30.3,23.5,21.9,25.0,31.4,29.8,32.7,24.4,22.1,26.4,26.6,25.0,28.2
56,25.9,24.2,27.5,27.9,25.9,29.5,22.9,21.4,24.4,30.5,28.9,31.7,23.7,21.4,25.6,25.8,24.2,27.4
57,25.1,23.4,26.7,27.0,25.1,28.6,22.3,20.8,23.7,29.6,28.0,30.8,22.9,20.7,24.9,25.0,23.4,26.5
58,24.3,22.6,25.8,26.2,24.3,27.7,21.8,20.3,23.1,28.7,27.1,29.9,22.2,20.0,24.1,24.2,22.6,25.7
59,23.5,21.9,25.0,25.3,23.5,26.8,21.2,19.8,22.5,27.8,26.3,28.9,21.5,19.3,23.3,23.4,21.8,24.8
60,22.7,21.1,24.2,24.5,22.7,25.9,20.6,19.3,21.8,26.9,25.4,28.0,20.8,18.6,22.6,22.6,21.1,24.0
61,21.9,20.4,23.3,23.7,22.0,25.1,20.1,18.8,21.2,26.0,24.5,27.1,20.1,18.0,21.8,21.8,20.4,23.2
62,21.2,19.7,22.5,22.9,21.2,24.2,19.5,18.3,20.6,25.1,23.7,26.2,19.4,17.4,21.1,21.1,19.6,22.4
63,20.4,18.9,21.7,22.1,20.4,23.4,19.0,17.8,20.0,24.3,22.9,25.2,18.7,16.7,20.4,20.3,18.9,21.6
64,19.7,18.2,21.0,21.3,19.7,22.6,18.4,17.3,19.3,23.4,22.0,24.3,18.1,16.1,19.7,19.6,18.2,20.8
65,18.9,17.5,20.2,20.5,19.0,21.7,17.8,16.8,18.7,22.5,21.2,23.4,17.4,15.5,19.0,18.8,17.5,20.0
66,18.2,16.8,19.4,19.8,18.2,20.9,17.2,16.2,18.1,21.7,20.4,22.6,16.8,15.0,18.3,18.1,16.8,19.3
67,17.5,16.2,18.6,19.0,17.5,20.1,16.7,15.7,17.4,20.8,19.6,21.7,16.2,14.4,17.6,17.3,16.1,18.5
68,16.7,15.5,17.8,18.2,16.8,19.3,16.1,15.2,16.8,20.0,18.8,20.8,15.6,13.9,16.9,16.6,15.4,17.7
69,16.0,14.8,17.1,17.5,16.1,18.5,15.5,14.7,16.1,19.2,18.0,19.9,15.0,13.3,16.2,15.9,14.7,17.0
70,15.3,14.2,16.3,16.7,15.4,17.7,14.9,14.2,15.5,18.4,17.2,19.1,14.4,12.8,15.6,15.2,14.1,16.2
71,14.6,13.5,15.6,16.0,14.7,16.9,14.4,13.7,14.9,17.6,16.5,18.2,13.8,12.3,14.9,14.5,13.4,15.5
72,13.9,12.9,14.9,15.3,14.0,16.1,13.9,13.3,14.3,16.8,15.7,17.4,13.2,11.7,14.2,13.8,12.8,14.7
73,13.3,12.2,14.1,14.6,13.4,15.4,13.4,12.8,13.7,16.0,15.0,16.6,12.6,11.2,13.6,13.1,12.1,14.0
74,12.6,11.6,13.4,13.9,12.7,14.6,12.9,12.4,13.2,15.2,14.3,15.8,12.0,10.7,13.0,12.5,11.5,13.3
75,12.0,11.0,12.8,13.2,12.1,13.9,12.4,11.9,12.6,14.5,13.6,15.0,11.5,10.2,12.4,11.8,10.9,12.6
76,11.3,10.4,12.1,12.5,11.5,13.2,11.9,11.5,12.1,13.7,12.8,14.2,10.9,9.7,11.8,11.2,10.3,11.9
77,10.7,9.8,11.4,11.9,10.8,12.5,11.4,11.0,11.5,12.9,12.1,13.4,10.4,9.2,11.2,10.6,9.7,11.3
78,10.1,9.2,10.8,11.2,10.2,11.8,10.9,10.5,11.0,12.2,11.4,12.6,9.9,8.7,10.6,10.0,9.1,10.6
79,9.5,8.7,10.2,10.6,9.6,11.1,10.4,10.0,10.5,11.5,10.8,11.9,9.4,8.3,10.0,9.4,8.6,10.0
80,8.9,8.1,9.5,10.0,9.1,10.4,9.9,9.6,10.0,10.8,10.1,11.1,8.9,7.8,9.5,8.8,8.0,9.4
81,8.4,7.6,9.0,9.4,8.5,9.8,9.5,9.2,9.6,10.1,9.5,10.4,8.4,7.4,9.0,8.3,7.5,8.8
82,7.9,7.1,8.4,8.8,8.0,9.2,9.1,8.8,9.1,9.5,8.9,9.7,7.9,7.0,8.4,7.7,7.0,8.3
83,7.3,6.7,7.8,8.3,7.5,8.6,8.7,8.4,8.7,8.9,8.3,9.1,7.4,6.6,7.9,7.2,6.6,7.7
84,6.9,6.2,7.3,7.7,7.0,8.0,8.3,8.1,8.2,8.3,7.7,8.4,7.0,6.2,7.5,6.8,6.1,7.2
85,6.4,5.8,6.8,7.2,6.5,7.4,7.9,7.7,7.8,7.7,7.2,7.8,6.6,5.8,7.0,6.3,5.7,6.7
86,5.9,5.3,6.3,6.7,6.0,6.9,7.5,7.4,7.4,7.1,6.6,7.2,6.2,5.5,6.6,5.8,5.3,6.2
87,5.5,5.0,5.9,6.2,5.6,6.4,7.2,7.1,7.0,6.6,6.1,6.6,5.8,5.1,6.1,5.4,4.9,5.8
88,5.1,4.6,5.4,5.8,5.2,5.9,6.8,6.7,6.7,6.1,5.7,6.1,5.4,4.8,5.7,5.0,4.5,5.3
89,4.7,4.2,5.0,5.4,4.8,5.5,6.5,6.4,6.3,5.6,5.2,5.6,5.1,4.5,5.3,4.6,4.1,4.9
90,4.4,3.9,4.6,5.0,4.4,5.0,6.2,6.1,6.0,5.1,4.8,5.1,4.8,4.2,5.0,4.3,3.8,4.5
91,4.0,3.6,4.3,4.6,4.1,4.6,5.9,5.9,5.6,4.7,4.4,4.7,4.5,4.0,4.6,4.0,3.5,4.2
92,3.7,3.4,3.9,4.3,3.8,4.3,5.6,5.6,5.3,4.3,4.1,4.2,4.2,3.7,4.3,3.7,3.3,3.9
93,3.5,3.1,3.6,4.0,3.5,3.9,5.3,5.3,5.1,4.0,3.7,3.9,3.9,3.5,4.0,3.4,3.0,3.6
94,3.2,2.9,3.4,3.7,3.3,3.6,5.1,5.1,4.8,3.7,3.4,3.5,3.7,3.3,3.8,3.1,2.8,3.3
95,3.0,2.7,3.1,3.4,3.0,3.3,4.8,4.9,4.6,3.4,3.2,3.2,3.4,3.1,3.5,2.9,2.6,3.0
96,2.8,2.5,2.9,3.2,2.8,3.1,4.6,4.7,4.3,3.1,2.9,2.9,3.2,2.9,3.3,2.7,2.4,2.8
97,2.6,2.3,2.7,2.9,2.6,2.8,4.4,4.5,4.1,2.8,2.7,2.7,3.0,2.7,3.0,2.5,2.2,2.6
98,2.4,2.2,2.5,2.7,2.5,2.6,4.2,4.3,3.9,2.6,2.5,2.5,2.8,2.6,2.8,2.3,2.1,2.4
99,2.2,2.0,2.3,2.6,2.3,2.4,4.1,4.2,3.7,2.4,2.3,2.3,2.7,2.4,2.7,2.2,2.0,2.2
100,2.1,1.9,2.2,2.4,2.2,2.3,3.9,4.0,3.6,2.3,2.2,2.1,2.5,2.3,2.5,2.0,1.8,2.1
